username,content,Lingkungan,Harga,Pemandangan,cleaning,hapusEmoji,replaceTOM,caseFolding,tokenizing,formalisasi,stopwordRemoval,stemming
fajar paijo,Speedboat menantang andernalin keren jos .   .   .   ,,,Positif,Speedboat menantang andernalin keren jos,Speedboat menantang andernalin keren jos,Speedboat menantang andernalin keren jos,speedboat menantang andernalin keren jos,"['speedboat', 'menantang', 'andernalin', 'keren', 'jos']","['speedboat', 'menantang', 'andernalin', 'keren', 'jos']","['speedboat', 'menantang', 'andernalin', 'keren', 'jos']","['speedboat', 'tantang', 'andernalin', 'keren', 'jos']"
Arijanto Wibowo,"Pas waktunya liburan,   parkir susah",,,,Pas waktunya liburan    parkir susah,Pas waktunya liburan    parkir susah,Pas waktunya liburan parkir susah,pas waktunya liburan parkir susah,"['pas', 'waktunya', 'liburan', 'parkir', 'susah']","['pas', 'waktunya', 'liburan', 'parkir', 'susah']","['pas', 'liburan', 'parkir', 'susah']","['pas', 'libur', 'parkir', 'susah']"
Muslimah Muslimah,"Sudah tiga kali kesini,   selalu ada perubahan dilingkungan yang semakin ramai,   cantik dan tertata.    Suka belanja oleh-olehnya,   banyak macam ada makanan,   camilan,   buah-buahan dan sayuran.    Murah-murah pokoknya.    Standard diobyek wisata.   ",,Positif,Positif,Sudah tiga kali kesini    selalu ada perubahan dilingkungan yang semakin ramai    cantik dan tertata     Suka belanja oleh olehnya    banyak macam ada makanan    camilan    buah buahan dan sayuran     Murah murah pokoknya     Standard diobyek wisata,Sudah tiga kali kesini    selalu ada perubahan dilingkungan yang semakin ramai    cantik dan tertata     Suka belanja oleh olehnya    banyak macam ada makanan    camilan    buah buahan dan sayuran     Murah murah pokoknya     Standard diobyek wisata,Sudah tiga kali kesini selalu ada perubahan dilingkungan yang semakin ramai cantik dan tertata Suka belanja oleh olehnya banyak macam ada makanan camilan buah buahan dan sayuran Murah murah pokoknya Standard diobyek wisata,sudah tiga kali kesini selalu ada perubahan dilingkungan yang semakin ramai cantik dan tertata suka belanja oleh olehnya banyak macam ada makanan camilan buah buahan dan sayuran murah murah pokoknya standard diobyek wisata,"['sudah', 'tiga', 'kali', 'kesini', 'selalu', 'ada', 'perubahan', 'dilingkungan', 'yang', 'semakin', 'ramai', 'cantik', 'dan', 'tertata', 'suka', 'belanja', 'oleh', 'olehnya', 'banyak', 'macam', 'ada', 'makanan', 'camilan', 'buah', 'buahan', 'dan', 'sayuran', 'murah', 'murah', 'pokoknya', 'standard', 'diobyek', 'wisata']","['sudah', 'tiga', 'kali', 'kesini', 'selalu', 'ada', 'perubahan', 'dilingkungan', 'yang', 'semakin', 'ramai', 'cantik', 'dan', 'tertata', 'suka', 'belanja', 'oleh', 'olehnya', 'banyak', 'macam', 'ada', 'makanan', 'camilan', 'buah', 'buahan', 'dan', 'sayuran', 'murah', 'murah', 'pokoknya', 'standard', 'diobyek', 'wisata']","['kali', 'kesini', 'perubahan', 'dilingkungan', 'ramai', 'cantik', 'tertata', 'suka', 'belanja', 'makanan', 'camilan', 'buah', 'buahan', 'sayuran', 'murah', 'murah', 'pokoknya', 'standard', 'diobyek', 'wisata']","['kali', 'kesini', 'ubah', 'lingkung', 'ramai', 'cantik', 'tata', 'suka', 'belanja', 'makan', 'camil', 'buah', 'buah', 'sayur', 'murah', 'murah', 'pokok', 'standard', 'obyek', 'wisata']"
Aji Saputro,Tempat yang asri,Positif,,,Tempat yang asri,Tempat yang asri,Tempat yang asri,tempat yang asri,"['tempat', 'yang', 'asri']","['tempat', 'yang', 'asri']",['asri'],['asri']
Hasanuddin Djamil,"Cakep banget kalau dilihat dari atas.   Harus coba naik speedboat di telaga,   seru banget.   ",,,,Cakep banget kalau dilihat dari atas    Harus coba naik speedboat di telaga    seru banget,Cakep banget kalau dilihat dari atas    Harus coba naik speedboat di telaga    seru banget,Cakep banget kalau dilihat dari atas Harus coba naik speedboat di telaga seru banget,cakep banget kalau dilihat dari atas harus coba naik speedboat di telaga seru banget,"['cakep', 'banget', 'kalau', 'dilihat', 'dari', 'atas', 'harus', 'coba', 'naik', 'speedboat', 'di', 'telaga', 'seru', 'banget']","['cakep', 'banget', 'kalau', 'dilihat', 'dari', 'atas', 'harus', 'coba', 'naik', 'speedboat', 'di', 'telaga', 'seru', 'banget']","['cakep', 'banget', 'coba', 'speedboat', 'telaga', 'seru', 'banget']","['cakep', 'banget', 'coba', 'speedboat', 'telaga', 'seru', 'banget']"
cah NDESO,watisee raumom,,,,watisee raumom,watisee raumom,watisee raumom,watisee raumom,"['watisee', 'raumom']","['watisee', 'raumom']","['watisee', 'raumom']","['watisee', 'raumom']"
Fachrudy Fatchi,Pada bulan Mei cukup nyaman di SaranganElevasi air danau maximumPenjual sayur & kuliner harganya cukup terjangkauÂ â¦,Positif,Positif,,Pada bulan Mei cukup nyaman di SaranganElevasi air danau maximumPenjual sayur & kuliner harganya cukup terjangkauÂ â¦,Pada bulan Mei cukup nyaman di SaranganElevasi air danau maximumPenjual sayur & kuliner harganya cukup terjangkau,Pada bulan Mei cukup nyaman di SaranganElevasi air danau maximumPenjual sayur & kuliner harganya cukup terjangkau,pada bulan mei cukup nyaman di saranganelevasi air danau maximumpenjual sayur & kuliner harganya cukup terjangkau,"['pada', 'bulan', 'mei', 'cukup', 'nyaman', 'di', 'saranganelevasi', 'air', 'danau', 'maximumpenjual', 'sayur', '&', 'kuliner', 'harganya', 'cukup', 'terjangkau']","['pada', 'bulan', 'mei', 'cukup', 'nyaman', 'di', 'saranganelevasi', 'air', 'danau', 'maximumpenjual', 'sayur', '&', 'kuliner', 'harganya', 'cukup', 'terjangkau']","['mei', 'nyaman', 'saranganelevasi', 'air', 'danau', 'maximumpenjual', 'sayur', '&', 'kuliner', 'harganya', 'terjangkau']","['mei', 'nyaman', 'saranganelevasi', 'air', 'danau', 'maximumpenjual', 'sayur', '', 'kuliner', 'harga', 'jangkau']"
yusli sriwinarno,Segar asri,Positif,,,Segar asri,Segar asri,Segar asri,segar asri,"['segar', 'asri']","['segar', 'asri']","['segar', 'asri']","['segar', 'asri']"
ANANGJCK ReNDeZVouS,Oke,,,,Oke,Oke,Oke,oke,['oke'],['oke'],['oke'],['oke']
Aldy Kurniawan Saputra,"Tempatnya asik ,   pa lagi kalau naik speedboatnya seruu kali ,   deg deg ser.   .    jangan lupa makam sate kelincinya,   murah dan rasannya enak polll.   .   .   ",,Positif,,Tempatnya asik     pa lagi kalau naik speedboatnya seruu kali     deg deg ser         jangan lupa makam sate kelincinya    murah dan rasannya enak polll,Tempatnya asik     pa lagi kalau naik speedboatnya seruu kali     deg deg ser         jangan lupa makam sate kelincinya    murah dan rasannya enak polll,Tempatnya asik pa lagi kalau naik speedboatnya seruu kali deg deg ser jangan lupa makam sate kelincinya murah dan rasannya enak pol,tempatnya asik pa lagi kalau naik speedboatnya seruu kali deg deg ser jangan lupa makam sate kelincinya murah dan rasannya enak pol,"['tempatnya', 'asik', 'pa', 'lagi', 'kalau', 'naik', 'speedboatnya', 'seruu', 'kali', 'deg', 'deg', 'ser', 'jangan', 'lupa', 'makam', 'sate', 'kelincinya', 'murah', 'dan', 'rasannya', 'enak', 'pol']","['tempatnya', 'asik', 'pa', 'lagi', 'kalau', 'naik', 'speedboatnya', 'seruu', 'kali', 'deg', 'deg', 'ser', 'jangan', 'lupa', 'makam', 'sate', 'kelincinya', 'murah', 'dan', 'rasannya', 'enak', 'pol']","['tempatnya', 'asik', 'pa', 'speedboatnya', 'seruu', 'kali', 'deg', 'deg', 'ser', 'lupa', 'makam', 'sate', 'kelincinya', 'murah', 'rasannya', 'enak', 'pol']","['tempat', 'asik', 'pa', 'speedboatnya', 'seruu', 'kali', 'deg', 'deg', 'ser', 'lupa', 'makam', 'sate', 'kelinci', 'murah', 'rasan', 'enak', 'pol']"
Sigit Santosa,"Tempat yg nyaman buat ngisi liburan menikmati suasana telaga yg indah.    Yg mau mengelilingi telaga disediakan juga wahana speed boat dan bisa juga naik kuda dengan tiket yg terjangkau.   .    saat musim liburan/ akhir pekan sangat ramai  pengunjung.   .    ada oleh"" mulai dari pakaian,   makanan dan lain"".   .   .    cakep dan wajib dikunjungi",Positif,Positif,Positif,Tempat yg nyaman buat ngisi liburan menikmati suasana telaga yg indah     Yg mau mengelilingi telaga disediakan juga wahana speed boat dan bisa juga naik kuda dengan tiket yg terjangkau         saat musim liburan  akhir pekan sangat ramai  pengunjung         ada oleh  mulai dari pakaian    makanan dan lain              cakep dan wajib dikunjungi,Tempat yg nyaman buat ngisi liburan menikmati suasana telaga yg indah     Yg mau mengelilingi telaga disediakan juga wahana speed boat dan bisa juga naik kuda dengan tiket yg terjangkau         saat musim liburan  akhir pekan sangat ramai  pengunjung         ada oleh  mulai dari pakaian    makanan dan lain              cakep dan wajib dikunjungi,Tempat yg nyaman buat ngisi liburan menikmati suasana telaga yg indah Yg mau mengelilingi telaga disediakan juga wahana speed boat dan bisa juga naik kuda dengan tiket yg terjangkau saat musim liburan  akhir pekan sangat ramai  pengunjung ada oleh  mulai dari pakaian makanan dan lain cakep dan wajib dikunjungi,tempat yg nyaman buat ngisi liburan menikmati suasana telaga yg indah yg mau mengelilingi telaga disediakan juga wahana speed boat dan bisa juga naik kuda dengan tiket yg terjangkau saat musim liburan  akhir pekan sangat ramai  pengunjung ada oleh  mulai dari pakaian makanan dan lain cakep dan wajib dikunjungi,"['tempat', 'yg', 'nyaman', 'buat', 'ngisi', 'liburan', 'menikmati', 'suasana', 'telaga', 'yg', 'indah', 'yg', 'mau', 'mengelilingi', 'telaga', 'disediakan', 'juga', 'wahana', 'speed', 'boat', 'dan', 'bisa', 'juga', 'naik', 'kuda', 'dengan', 'tiket', 'yg', 'terjangkau', 'saat', 'musim', 'liburan', 'akhir', 'pekan', 'sangat', 'ramai', 'pengunjung', 'ada', 'oleh', 'mulai', 'dari', 'pakaian', 'makanan', 'dan', 'lain', 'cakep', 'dan', 'wajib', 'dikunjungi']","['tempat', 'yang', 'nyaman', 'buat', 'mengisi', 'liburan', 'menikmati', 'suasana', 'telaga', 'yang', 'indah', 'yang', 'mau', 'mengelilingi', 'telaga', 'disediakan', 'juga', 'wahana', 'speed', 'boat', 'dan', 'bisa', 'juga', 'naik', 'kuda', 'dengan', 'tiket', 'yang', 'terjangkau', 'saat', 'musim', 'liburan', 'akhir', 'pekan', 'sangat', 'ramai', 'pengunjung', 'ada', 'oleh', 'mulai', 'dari', 'pakaian', 'makanan', 'dan', 'lain', 'cakep', 'dan', 'wajib', 'dikunjungi']","['nyaman', 'mengisi', 'liburan', 'menikmati', 'suasana', 'telaga', 'indah', 'mengelilingi', 'telaga', 'disediakan', 'wahana', 'speed', 'boat', 'kuda', 'tiket', 'terjangkau', 'musim', 'liburan', 'pekan', 'ramai', 'pengunjung', 'pakaian', 'makanan', 'cakep', 'wajib', 'dikunjungi']","['nyaman', 'isi', 'libur', 'nikmat', 'suasana', 'telaga', 'indah', 'keliling', 'telaga', 'sedia', 'wahana', 'speed', 'boat', 'kuda', 'tiket', 'jangkau', 'musim', 'libur', 'pekan', 'ramai', 'unjung', 'pakai', 'makan', 'cakep', 'wajib', 'kunjung']"
Maulana Asrofu,Wisata telaga sarangan banyak pilihan wahana.    Ongkos naik perahu 150 2x putaran.    Bisa naik kuda 80rb.   ,,,,Wisata telaga sarangan banyak pilihan wahana     Ongkos naik perahu 150 2x putaran     Bisa naik kuda 80rb,Wisata telaga sarangan banyak pilihan wahana     Ongkos naik perahu 150 2x putaran     Bisa naik kuda 80rb,Wisata telaga sarangan banyak pilihan wahana Ongkos naik perahu 150 2x putaran Bisa naik kuda 80rb,wisata telaga sarangan banyak pilihan wahana ongkos naik perahu 150 2x putaran bisa naik kuda 80rb,"['wisata', 'telaga', 'sarangan', 'banyak', 'pilihan', 'wahana', 'ongkos', 'naik', 'perahu', '150', '2x', 'putaran', 'bisa', 'naik', 'kuda', '80rb']","['wisata', 'telaga', 'sarangan', 'banyak', 'pilihan', 'wahana', 'ongkos', 'naik', 'perahu', '150', '2x', 'putaran', 'bisa', 'naik', 'kuda', '80rb']","['wisata', 'telaga', 'sarangan', 'pilihan', 'wahana', 'ongkos', 'perahu', '150', '2x', 'putaran', 'kuda', '80rb']","['wisata', 'telaga', 'sarangan', 'pilih', 'wahana', 'ongkos', 'perahu', '150', '2x', 'putar', 'kuda', '80rb']"
Agnisotya,Tempat yang sejuk tempat yg enk buat liburan trusKalo malem enk buat nongkrong dan ngopi,Positif,,,Tempat yang sejuk tempat yg enk buat liburan trusKalo malem enk buat nongkrong dan ngopi,Tempat yang sejuk tempat yg enk buat liburan trusKalo malem enk buat nongkrong dan ngopi,Tempat yang sejuk tempat yg enk buat liburan trusKalo malem enk buat nongkrong dan ngopi,tempat yang sejuk tempat yg enk buat liburan truskalo malem enk buat nongkrong dan ngopi,"['tempat', 'yang', 'sejuk', 'tempat', 'yg', 'enk', 'buat', 'liburan', 'truskalo', 'malem', 'enk', 'buat', 'nongkrong', 'dan', 'ngopi']","['tempat', 'yang', 'sejuk', 'tempat', 'yang', 'enk', 'buat', 'liburan', 'truskalo', 'malam', 'enk', 'buat', 'nongkrong', 'dan', 'ngopi']","['sejuk', 'enk', 'liburan', 'truskalo', 'malam', 'enk', 'nongkrong', 'ngopi']","['sejuk', 'enk', 'libur', 'truskalo', 'malam', 'enk', 'nongkrong', 'ngopi']"
nila Dewi,Tempat wisata yg gak pernah sepi sepanjang masa.   Jgn lupa kosongkan perut dulu ya krn di lokasi wisatanya pasti banyak kuliner yg menggoda ð,,,Positif,Tempat wisata yg gak pernah sepi sepanjang masa    Jgn lupa kosongkan perut dulu ya krn di lokasi wisatanya pasti banyak kuliner yg menggoda ð,Tempat wisata yg gak pernah sepi sepanjang masa    Jgn lupa kosongkan perut dulu ya krn di lokasi wisatanya pasti banyak kuliner yg menggoda ,Tempat wisata yg gak pernah sepi sepanjang masa Jgn lupa kosongkan perut dulu ya krn di lokasi wisatanya pasti banyak kuliner yg menggoda ,tempat wisata yg gak pernah sepi sepanjang masa jgn lupa kosongkan perut dulu ya krn di lokasi wisatanya pasti banyak kuliner yg menggoda ,"['tempat', 'wisata', 'yg', 'gak', 'pernah', 'sepi', 'sepanjang', 'masa', 'jgn', 'lupa', 'kosongkan', 'perut', 'dulu', 'ya', 'krn', 'di', 'lokasi', 'wisatanya', 'pasti', 'banyak', 'kuliner', 'yg', 'menggoda']","['tempat', 'wisata', 'yang', 'gak', 'pernah', 'sepi', 'sepanjang', 'masa', 'jangan', 'lupa', 'kosongkan', 'perut', 'dulu', 'iya', 'karena', 'di', 'lokasi', 'wisatanya', 'pasti', 'banyak', 'kuliner', 'yang', 'menggoda']","['wisata', 'gak', 'sepi', 'lupa', 'kosongkan', 'perut', 'iya', 'lokasi', 'wisatanya', 'kuliner', 'menggoda']","['wisata', 'gak', 'sepi', 'lupa', 'kosong', 'perut', 'iya', 'lokasi', 'wisata', 'kuliner', 'goda']"
Nanik purwaning,Nanti kesini lagi ð¥°,,,,Nanti kesini lagi ð¥°,Nanti kesini lagi ,Nanti kesini lagi ,nanti kesini lagi ,"['nanti', 'kesini', 'lagi']","['nanti', 'kesini', 'lagi']",['kesini'],['kesini']
Maria Ulfa,Bimtek kader kesehatan desa Masangan KulonLanjut wisata boat di Telaga Sarangan,,,Positif,Bimtek kader kesehatan desa Masangan KulonLanjut wisata boat di Telaga Sarangan,Bimtek kader kesehatan desa Masangan KulonLanjut wisata boat di Telaga Sarangan,Bimtek kader kesehatan desa Masangan KulonLanjut wisata boat di Telaga Sarangan,bimtek kader kesehatan desa masangan kulonlanjut wisata boat di telaga sarangan,"['bimtek', 'kader', 'kesehatan', 'desa', 'masangan', 'kulonlanjut', 'wisata', 'boat', 'di', 'telaga', 'sarangan']","['bimtek', 'kader', 'kesehatan', 'desa', 'masangan', 'kulonlanjut', 'wisata', 'boat', 'di', 'telaga', 'sarangan']","['bimtek', 'kader', 'kesehatan', 'desa', 'masangan', 'kulonlanjut', 'wisata', 'boat', 'telaga', 'sarangan']","['bimtek', 'kader', 'sehat', 'desa', 'masangan', 'kulonlanjut', 'wisata', 'boat', 'telaga', 'sarangan']"
Trie Darma,Dingin poll,,,,Dingin poll,Dingin poll,Dingin poll,dingin poll,"['dingin', 'poll']","['dingin', 'poll']","['dingin', 'poll']","['dingin', 'poll']"
Shelly Ven,BaguuusRame suasana nyaIndaah,Positif,,,BaguuusRame suasana nyaIndaah,BaguuusRame suasana nyaIndaah,BagusRame suasana nyaIndaah,bagusrame suasana nyaindaah,"['bagusrame', 'suasana', 'nyaindaah']","['bagusrame', 'suasana', 'nyaindaah']","['bagusrame', 'suasana', 'nyaindaah']","['bagusrame', 'suasana', 'nyaindaah']"
Indra Aguswantoko,"Sangat Tidak nyaman jika dikunjungi saat weekend & musim liburan.    Perlu penataan ulang di area telaga krn motor,   mobil,   yg masuk area telaga sangat mengganggu kenyamanan.   ",Positif,,,Sangat Tidak nyaman jika dikunjungi saat weekend & musim liburan     Perlu penataan ulang di area telaga krn motor    mobil    yg masuk area telaga sangat mengganggu kenyamanan,Sangat Tidak nyaman jika dikunjungi saat weekend & musim liburan     Perlu penataan ulang di area telaga krn motor    mobil    yg masuk area telaga sangat mengganggu kenyamanan,Sangat Tidak nyaman jika dikunjungi saat weekend & musim liburan Perlu penataan ulang di area telaga krn motor mobil yg masuk area telaga sangat mengganggu kenyamanan,sangat tidak nyaman jika dikunjungi saat weekend & musim liburan perlu penataan ulang di area telaga krn motor mobil yg masuk area telaga sangat mengganggu kenyamanan,"['sangat', 'tidak', 'nyaman', 'jika', 'dikunjungi', 'saat', 'weekend', '&', 'musim', 'liburan', 'perlu', 'penataan', 'ulang', 'di', 'area', 'telaga', 'krn', 'motor', 'mobil', 'yg', 'masuk', 'area', 'telaga', 'sangat', 'mengganggu', 'kenyamanan']","['sangat', 'tidak', 'nyaman', 'jika', 'dikunjungi', 'saat', 'weekend', '&', 'musim', 'liburan', 'perlu', 'penataan', 'ulang', 'di', 'area', 'telaga', 'karena', 'motor', 'mobil', 'yang', 'masuk', 'area', 'telaga', 'sangat', 'mengganggu', 'kenyamanan']","['nyaman', 'dikunjungi', 'weekend', '&', 'musim', 'liburan', 'penataan', 'ulang', 'area', 'telaga', 'motor', 'mobil', 'masuk', 'area', 'telaga', 'mengganggu', 'kenyamanan']","['nyaman', 'kunjung', 'weekend', '', 'musim', 'libur', 'tata', 'ulang', 'area', 'telaga', 'motor', 'mobil', 'masuk', 'area', 'telaga', 'ganggu', 'nyaman']"
Tyoga A.   A,Dingin dan sangat bagus buat acara ngecamp,,,Positif,Dingin dan sangat bagus buat acara ngecamp,Dingin dan sangat bagus buat acara ngecamp,Dingin dan sangat bagus buat acara ngecamp,dingin dan sangat bagus buat acara ngecamp,"['dingin', 'dan', 'sangat', 'bagus', 'buat', 'acara', 'ngecamp']","['dingin', 'dan', 'sangat', 'bagus', 'buat', 'acara', 'ngecamp']","['dingin', 'bagus', 'acara', 'ngecamp']","['dingin', 'bagus', 'acara', 'ngecamp']"
purworestu adi putra,Suasana sejuk.   .   .    Naik kuda paling pas muterin telaga sambil membantu perekonomian warga d sana yg jadi kang kuda.   .    minus banyak lalu-lalang motor mbil,Positif,,,Suasana sejuk             Naik kuda paling pas muterin telaga sambil membantu perekonomian warga d sana yg jadi kang kuda         minus banyak lalu lalang motor mbil,Suasana sejuk             Naik kuda paling pas muterin telaga sambil membantu perekonomian warga d sana yg jadi kang kuda         minus banyak lalu lalang motor mbil,Suasana sejuk Naik kuda paling pas muterin telaga sambil membantu perekonomian warga d sana yg jadi kang kuda minus banyak lalu lalang motor mbil,suasana sejuk naik kuda paling pas muterin telaga sambil membantu perekonomian warga d sana yg jadi kang kuda minus banyak lalu lalang motor mbil,"['suasana', 'sejuk', 'naik', 'kuda', 'paling', 'pas', 'muterin', 'telaga', 'sambil', 'membantu', 'perekonomian', 'warga', 'd', 'sana', 'yg', 'jadi', 'kang', 'kuda', 'minus', 'banyak', 'lalu', 'lalang', 'motor', 'mbil']","['suasana', 'sejuk', 'naik', 'kuda', 'paling', 'pas', 'muterin', 'telaga', 'sambil', 'membantu', 'perekonomian', 'warga', 'di', 'sana', 'yang', 'jadi', 'kang', 'kuda', 'minus', 'banyak', 'lalu', 'lalang', 'motor', 'mbil']","['suasana', 'sejuk', 'kuda', 'pas', 'muterin', 'telaga', 'membantu', 'perekonomian', 'warga', 'kang', 'kuda', 'minus', 'lalang', 'motor', 'mbil']","['suasana', 'sejuk', 'kuda', 'pas', 'muterin', 'telaga', 'bantu', 'ekonomi', 'warga', 'kang', 'kuda', 'minus', 'lalang', 'motor', 'mbil']"
FERNANDO PRO,"Selalu tidak pernah bosan kalau ke Saragan,   walaupun sudah belasan kali kesana.    Sungguh indah pemandangan disana.   ",,,Positif,Selalu tidak pernah bosan kalau ke Saragan    walaupun sudah belasan kali kesana     Sungguh indah pemandangan disana,Selalu tidak pernah bosan kalau ke Saragan    walaupun sudah belasan kali kesana     Sungguh indah pemandangan disana,Selalu tidak pernah bosan kalau ke Saragan walaupun sudah belasan kali kesana Sungguh indah pemandangan disana,selalu tidak pernah bosan kalau ke saragan walaupun sudah belasan kali kesana sungguh indah pemandangan disana,"['selalu', 'tidak', 'pernah', 'bosan', 'kalau', 'ke', 'saragan', 'walaupun', 'sudah', 'belasan', 'kali', 'kesana', 'sungguh', 'indah', 'pemandangan', 'disana']","['selalu', 'tidak', 'pernah', 'bosan', 'kalau', 'ke', 'saragan', 'walaupun', 'sudah', 'belasan', 'kali', 'kesana', 'sungguh', 'indah', 'pemandangan', 'disana']","['bosan', 'saragan', 'belasan', 'kali', 'kesana', 'sungguh', 'indah', 'pemandangan', 'disana']","['bosan', 'saragan', 'bas', 'kali', 'kesana', 'sungguh', 'indah', 'pandang', 'sana']"
RACHMAT LEO SAPUTRA,Cocok buat hiling/touring,,,,Cocok buat hiling touring,Cocok buat hiling touring,Cocok buat hiling touring,cocok buat hiling touring,"['cocok', 'buat', 'hiling', 'touring']","['cocok', 'buat', 'hiling', 'touring']","['cocok', 'hiling', 'touring']","['cocok', 'hiling', 'touring']"
Diah Susilowati,Joss.   .   .   ,,,,Joss,Joss,Joss,joss,['joss'],['joss'],['joss'],['joss']
dwi parjoko,asik lihat orang,,,,asik lihat orang,asik lihat orang,asik lihat orang,asik lihat orang,"['asik', 'lihat', 'orang']","['asik', 'lihat', 'orang']","['asik', 'lihat', 'orang']","['asik', 'lihat', 'orang']"
Sindy Novia,"Masih sama seperti dulu,   bagus dan asri.   Banyak penambahan fasilitas seperti tempat duduk.   Untuk harga makanan standart tempat wisata.   Â â¦",Positif,Positif,Positif,Masih sama seperti dulu    bagus dan asri    Banyak penambahan fasilitas seperti tempat duduk    Untuk harga makanan standart tempat wisata    Â â¦,Masih sama seperti dulu    bagus dan asri    Banyak penambahan fasilitas seperti tempat duduk    Untuk harga makanan standart tempat wisata    ,Masih sama seperti dulu bagus dan asri Banyak penambahan fasilitas seperti tempat duduk Untuk harga makanan standart tempat wisata ,masih sama seperti dulu bagus dan asri banyak penambahan fasilitas seperti tempat duduk untuk harga makanan standart tempat wisata ,"['masih', 'sama', 'seperti', 'dulu', 'bagus', 'dan', 'asri', 'banyak', 'penambahan', 'fasilitas', 'seperti', 'tempat', 'duduk', 'untuk', 'harga', 'makanan', 'standart', 'tempat', 'wisata']","['masih', 'sama', 'seperti', 'dulu', 'bagus', 'dan', 'asri', 'banyak', 'penambahan', 'fasilitas', 'seperti', 'tempat', 'duduk', 'untuk', 'harga', 'makanan', 'standart', 'tempat', 'wisata']","['bagus', 'asri', 'penambahan', 'fasilitas', 'duduk', 'harga', 'makanan', 'standart', 'wisata']","['bagus', 'asri', 'tambah', 'fasilitas', 'duduk', 'harga', 'makan', 'standart', 'wisata']"
Fatikhah Setianing,Kesini krna suka naik speedboatnya.   .   seruu,,,,Kesini krna suka naik speedboatnya        seruu,Kesini krna suka naik speedboatnya        seruu,Kesini krna suka naik speedboatnya seruu,kesini krna suka naik speedboatnya seruu,"['kesini', 'krna', 'suka', 'naik', 'speedboatnya', 'seruu']","['kesini', 'krna', 'suka', 'naik', 'speedboatnya', 'seruu']","['kesini', 'krna', 'suka', 'speedboatnya', 'seruu']","['kesini', 'krna', 'suka', 'speedboatnya', 'seruu']"
Aisyah Nazwa, Terlalu ramai Too crowded,,,,Terlalu ramai Too crowded,Terlalu ramai Too crowded,Terlalu ramai Too crowded,terlalu ramai too crowded,"['terlalu', 'ramai', 'too', 'crowded']","['terlalu', 'ramai', 'too', 'crowded']","['ramai', 'too', 'crowded']","['ramai', 'too', 'crowded']"
Doris Andrian,wisatanya rame.   ,,,Positif,wisatanya rame,wisatanya rame,wisatanya rame,wisatanya rame,"['wisatanya', 'rame']","['wisatanya', 'ramai']","['wisatanya', 'ramai']","['wisata', 'ramai']"
Muhammad Rofiq,"Lebih jika ingin berlibur ke sini,   bukan di hari libur.   .    klo terlalu rame tempat nya kurang enak juga suasananya.   .   ",Positif,,,Lebih jika ingin berlibur ke sini    bukan di hari libur         klo terlalu rame tempat nya kurang enak juga suasananya,Lebih jika ingin berlibur ke sini    bukan di hari libur         klo terlalu rame tempat nya kurang enak juga suasananya,Lebih jika ingin berlibur ke sini bukan di hari libur klo terlalu rame tempat nya kurang enak juga suasananya,lebih jika ingin berlibur ke sini bukan di hari libur klo terlalu rame tempat nya kurang enak juga suasananya,"['lebih', 'jika', 'ingin', 'berlibur', 'ke', 'sini', 'bukan', 'di', 'hari', 'libur', 'klo', 'terlalu', 'rame', 'tempat', 'nya', 'kurang', 'enak', 'juga', 'suasananya']","['lebih', 'jika', 'ingin', 'berlibur', 'ke', 'sini', 'bukan', 'di', 'hari', 'libur', 'kalau', 'terlalu', 'ramai', 'tempat', 'nya', 'kurang', 'enak', 'juga', 'suasananya']","['berlibur', 'libur', 'ramai', 'nya', 'enak', 'suasananya']","['libur', 'libur', 'ramai', 'nya', 'enak', 'suasana']"
hendi KhoirurijaL,"Sebuah telaga di kaki gunung lawu,   suasana sejuk dingin,  banyak pedagang",Positif,,,Sebuah telaga di kaki gunung lawu    suasana sejuk dingin   banyak pedagang,Sebuah telaga di kaki gunung lawu    suasana sejuk dingin   banyak pedagang,Sebuah telaga di kaki gunung lawu suasana sejuk dingin banyak pedagang,sebuah telaga di kaki gunung lawu suasana sejuk dingin banyak pedagang,"['sebuah', 'telaga', 'di', 'kaki', 'gunung', 'lawu', 'suasana', 'sejuk', 'dingin', 'banyak', 'pedagang']","['sebuah', 'telaga', 'di', 'kaki', 'gunung', 'lawu', 'suasana', 'sejuk', 'dingin', 'banyak', 'pedagang']","['telaga', 'kaki', 'gunung', 'lawu', 'suasana', 'sejuk', 'dingin', 'pedagang']","['telaga', 'kaki', 'gunung', 'lawu', 'suasana', 'sejuk', 'dingin', 'dagang']"
Aditya Imam R.   ,"sejuk,   rekomendasi kesini weekday aja gengs",Positif,,,sejuk    rekomendasi kesini weekday aja gengs,sejuk    rekomendasi kesini weekday aja gengs,sejuk rekomendasi kesini weekday aja gengs,sejuk rekomendasi kesini weekday aja gengs,"['sejuk', 'rekomendasi', 'kesini', 'weekday', 'aja', 'gengs']","['sejuk', 'rekomendasi', 'kesini', 'weekday', 'saja', 'gengs']","['sejuk', 'rekomendasi', 'kesini', 'weekday', 'gengs']","['sejuk', 'rekomendasi', 'kesini', 'weekday', 'gengs']"
Meh,Bakso enakkk,,,,Bakso enakkk,Bakso enakkk,Bakso enak,bakso enak,"['bakso', 'enak']","['bakso', 'enak']","['bakso', 'enak']","['bakso', 'enak']"
