username,content
khalida sri utami,Berangkat dari Solo ke Telaga Sarangan via Tawangmangu.   Jalannya nanjak berkelok kelok tapi pemandangannya buagusss poool.   Sepanjang jalan dibuat takjub sama pemandangannya.   Pastikan kondisi kendaraan fit sebelum pergi ke sini.   …
Rubi Sastro,"Sejuk,  danau luas,  tempat ngopi,  berkuda,  speed boat"
Devvi,"Suasana dingin,  nyaman,  airnya lagi surut berasa di pantai,  pemandangan oke,  cocok untuk refreshing"
Diani Suci K,"Bagus adem kalau hari libur ruame poll.   Makanan khas nya adalah sate kelinci,  tapi aku gaberani makan wkkwk …"
Restu Wijaya,"telaga sarangan berada di magetan di bawah gunung lawu disini cuacanya meski panas tetap sejuk dan berasa dingin karena berada di dataran tinggi pegunungan.  
apabila membawa kendaraan pribadi pastikan performa kendaraan prima terlebih rem …"
Alfian Azyumardi,"Tempatnya nyaman,  hanya aja parkir dan banyak mobil kesana kemari jadi kurang nyaman
Selebihnya oke dan recommended"
Wewen Kurnia,"Sangat bagus tempatnya,  enak buat nyantai, aq kesana dr mulai jaman sekolah sampai punya anak, sarangat ttp tempat plng nyaman buat santai"
Sugeng Widodo,"Tempat yang cocok untuk berwisata,  pemandangan yang bagus dan ada wahana speedboat untuk mengelilingi Telaga dan juga tiket masuk cukup terjangkau"
Gunsodiq Arto,"Airnya bersih,  wisata air yg menyenangkan.   Cukup ramai pengunjung meskipun hari kerja.   Wiev hutan sekelilingnya msh asri.   Ada persewaan boat,  kuda,  becak air.   Harga cukup Kompetitif terjangkau 50-80rb sekali putaran.   Banyak penjual makanan dan sovenir"
Aulia Ghozalina Alumni_Genteng,"Wisata favorit di Magetan sih ini, mau kesini sendiri, bawa pacar ataupun keluarga bisa bangeet.   Karena ada pilihan wahana speed boat,  menunggang kuda, duduk santai pinggir danau sambil kulineran ataupun belanja sayur dan buah yang murah murah.   Ada juga toko oleh oleh yang pilihannya cukup variatif.  "
Daniel Nugraha,"Nyaman,  rame,  wajib nginep jd bisa kulineran malam"
muhammad iqbal,"Tempat yang sangat bagus menurut saya,  apalagi ketika awan masih belum turun dan cuaca sangat cerah,  sangat terlihat pemandangan gunung yang berada di sekitar telaga sarangan.   Mungkin terkait dengan sampah yang ada di telaga bisa di …"
Husnul Ika Safitri,"Tujuan paling favorit kalo ngga mau pergi terlalu jauh,  tapi dapet view,  suasana yang ciamik.   Bisa nginep diberbagai penginapan yang tersedia di sana.   Ditemani dengan pemandangan yang bikin mata termanjakan.    Tiket masuk orang dewasa 20rb,  …"
Alimp S.  ,"Suasana pegunungan dengan udara sejuk,  juga wisata danau seperti speed bout,  perahu motor angsa dll,  ada juga sewa kuda mengelilingi danau.   Banyak di jual hasil bumi seperti sayur dan buah segar,  khusus untuk buah strawberry pengunjung bisa di mengambil langsung dari kebun,  sangat cocok untuk wisata keluarga"
Alfin Yusuf Zain,rekomendasi kalau main area sekitar sarangan harus mampir ke telaga sini
Firs Corp,Hm.  .  .   Lama g di sarangan nich terakhir TK thn 2000 vibes ny bener2 uda beda dulu kan nuansa alam ny kentel bgt dan dingin sekarang nuansa b aja malah kyk pasar malem yg byk pedagang nya gtu hemmmm
Asadulloh,"Harga tiket murah,  akses jlan bgus hanya saja memang jalan terjal krena memang daerah pegunungan lawu.   Makanan murah,  view bgus tpi sayang bnget ditelaga masih ada turis buang sampah.   Harusnya ada tindak tegas dri petugas😔 …"
Renny Wahyuni,"Rame bgt krna liburan lebaran jd padet bgt.  .  
Naik kuda 50
Speed boat 80-200 …"
Hanafi Hans,"Pengunjung sangat ramai di hari libur.   Tiket masuk 20ribu per orang.   Tempatnya bersih,  udara sangat dingin.   Pemandangan sangat indah untuk telaga di atas pegunungan.   Makanan cukup banyak pilihan dan harga cukup terjangkau.   Untuk hotel dan penginapan di hari libur cukup mahal.   2 kali lipat dari harga normal.  "
Iwan Yahya,"Rekomendasi banget.   Tempatnya bagus,  adem, .   Smua makanan juga enak.  "
Basta D.   Hussein,"Pertama kali kesini dalam rangka self holiday
Kesan pertama,  bagus dan puas banget
Pemandangan nya Oke …"
Tomas Loise Prayogo Sariyono,"Petunjuk arah ke lokasi wisata tergolong dapat dan jelas,  pemandangan sekitar wisata jg bagus dapat lihat kota magetan dari atas.   Sekitar wisata jg alamnya bagus terutama bagian barat masih sdikit hutan dan ada bumi perkemahan.   Untuk tiket …"
Didy Haka,Mungkin hanya oknum yg menjual makmin mahal.  alhamdulillah selama disana g tertipu dgn oknum yg jual makmin mahal.  harga wisata di maklumin saja
M Solikin,"Cocok untuk liburan akhir pekan dan honeymoon,  siapkan jaket anda jika dipagi hari karena berasa dingin banget,  tersedia aneka jajanan dan oleh oleh,  tersedia juga penginapan dilokasi wisata ini"
Ratih Sundari,"Hari libur pas jg hari liburan sekolah.  .  wisata sarangan tutup karena parkiran penuh,  kemacetan dr awal pintu masuk sarangan sampai pasar mulai pasar plaosan.   Tempat wisat bagus.  .  24 desember 2023 harga tiket boat 80.  000 satu boat isi 4 …"
Prabella Devi,"Lumayan enak buat healing,  kesini pas weekend pengunjungnya ga terlalu ramai"
Sigit Setyawan,"Kesini pas cuaca lagi hujan,  kabut,  dan debit air tinggi.   Ini keren banget viewnya kalo cuaca pas lagi cerah.   Tiket masuk 20rb per kepala.   Penataan taman dan ruang terbuka di sekitaran telaga sudah mulai harus direncanakan untuk menunjang …"
Yulita (tita),Kursi dipinggir telaga sedikit.   Mau ada kursi lagi ga boleh sm yg punya kuda.   Makanannya cukup murah.   Buanyak bgt kudanya sampe takut
SHBRN PTRI,"Pengalaman ke sini hari kerja.   Enak banget suasananya.   Ga rame 😂 cuma yaaa sedikit sepi yg jual kuliner & persate²an 😄
Naik boat atau kuda sudah ada tarif resminya.   Gausah di tawar² lagi.   …"
Lusi Febrianti,"Tempat wisata yang menyenangkan.   Secara umum,  lingkungan sekitarnya bersih.   Atraksi yang ada yaitu berkuda dan speedboath dengan tarif masing² 80.  000 an.   Akomodasinya over all juga bagus,  hanya beberapa bagian mungkin perlu dimaksimalkan seperti water heater di setiap kamar.  "
Intan Sulis,Sangat menyenangkan liburan bersama keluarga
Nitra Galih,"Tempat wisata yang nyaman.  
Wisatawan bisa mencoba skateboard,  bebek kayuh,  dan bagi wisatawan yang ingin berkeliling telaga bisa menyewa  kuda dengan harga yang terjangkau.  
Selain itu kulinernya juga beragam dengan harga yang terjangkau juga.  "
salma Dai putri Fitialoka,"""Hujan dan kabut menyelimuti Sarangan saat kunjungan pertama,  membuat keindahannya tersembunyi.   Namun,  di kunjungan kedua,  saya disambut dengan panorama alam yang begitu menakjubkan,  melebihi ekspektasi.   Sarangan,  kau bagaikan lukisan alam …"
Wildan Surya Nugraha,"Telaga Sarangan,  juga dikenal sebagai Telaga Pasir adalah telaga alami yang berada di ketinggian 1.  200 meter di atas permukaan laut dan terletak di lereng Gunung Lawu,  Kecamatan Plaosan,   Kabupaten Magetan,  Jawa Timur.   Telaga ini berjarak …"
Silvie Hidayat,"Lokasi wisata terdekat dari Madiun kurang lebih 1 jam,  hawanya sejuk lingkungan bersih,  banyak resto dan jajanan di pinggir jalan paling terkenal adalah sate kelincinya,  ada juga arena bermain speed boat dan berkuda mengelilingi danau Sarangan"
Alula Ihsan,Tempat wisata yg syahdu untuk dilewati bersama keluarga
diki katrok,"Pemandangan yg asri, ,  suasana damai.  .  .   Banyak yg berubah setelah 4 tahun gak kesini.  .  .   Estimasi tujuan wisata keluarga yg lumayan.  .  .   Harga sedang tiket masuk 20rb free parkir"
Anies Heriyanto,"Telaga sarangan tidak begitu jauh dari Tawangmangu.  .  .   secara administrasi masuk Magetan,  jawa timur.  
Melalui jalan yang berkelok kelok naik dan turun.   Kondisi jalan mulus.   Bagi yang …"
Khafit Imron Muzaki,"Suasana alam yang tenang di hari biasa,  kalo weekend rame poll.   Cuaca sejuk kalau di pagi hari di musim kemarau.   Tiket lumayan murah,  kebersihan lumayan,  ada wahana speedboat keliling telaga dan naik kuda.   recomended buat refreshing bareng keluarga.  "
Anita P,"Harus cobain satenya enak pwolll.   Viewnya cakepp bgt gess,  adem juga disinii.   Tapi beberapa spot ada sampah yang berserakan,  mungkin himbauan untuk pengunjung dan pengelola agar menjaga tempat wisata untuk tetap bersih 🙏🏻🙏🏻 …"
Thomas Arie Kurniawan,"masih tetap menjadi salah satu tujuan utama turis domestik.  .  
👌👌👌👌 …"
M Irfan Fahruddin,"cukup indah, ,  tapi lebih indah pemandangan disekitarnya.   pemandangan disepanjang perjalanan juga lumayan indah"
Kosn Udin,"Sarangan lake to remember.  
Ya untuk kesekian,  dan terakhir kali 3 thn lalu kesana.   Pada Desember 2020.  
Mantab deh pokoknya berwisata ke telaga sarangan.   …"
Hasna,"Cukup ramai,  walaupun kesini di hari kerja.   Walaupun rumah dekat tapi baru pertamakali kesini.   Tiket masuknya dikenakan 20k per orang.   Alhamdulillah kemarin dapet diskon 5k hehe.  .   lumalayan buat jajan.   Di lokasi disediakan juga parkir motor …"
Alma Shafira,"Pertama kali kesini senang banget,  cuacanya dingin dan pemandangannya bagus banget kalau kesini mending agak awal,  soalnya jam setengah lima sore sudah tutup.   Banyak aneka jualan,  kapan-kapan pingin ke sini lagi 😁 …"
Qurotha 'Ayun,Strowberry yg dijual manis sekali.   Kalau ingin membeli harus pintar menawar dulu.   Kalau mau naik perahu sekali jalan 1 putaran 80rb.   Bisa dinaiki 4 penumpang dewasa.  
Hediek Hirwanto,"Asik &  meriah
Mantab betul malam menjelang tahun baru 1Januari 2025"
Andik Hermawanto,"Sesuai tagline nya : LAKE TO REMEMBER
Hawanya dingin
Kuliner khas sate kelinci.  "
dikdik edi rahayu,Hanya sayang bukit-bukit yang mengelilinginya sudah banyak yang gundul dan berubah pungsi ditanami sayuran.   Hati-hati hangat sampai mengakibatkan longsor.  .  .  
Izzaputri Ardani,"Udah kedua kali datang kesini,  untuk tiket masuk bayar 20k per orang dan parkir sepeda motornya diluar  telaga sarangan bayar 5k,  udah diawasi cctv guys jadi gak usah takut.   …"
Jeni Agustiningrum,"Tiket masuk 20.  000
Tiket speedboat 80.  000 untuk 4 orang untuk 1x putaran di telaga sarangan.   Ada yg jual sate kelinci plus lontong 20.  000.   Sate ayam juga ada.   Di pasarnya ada …"
mursidi tok,"Salam hormat salam santun dari Sabang sampai Merauke🤔
Alam semesta dengan keindahan yang abadi, kita jaga kelestariannya kawanku dulurku,  ajaran nenek moyang kita sesepuh yg telah mendaulikita🔥semoga selalu terjaga …"
wahyu widyatmaka,"Telaga sarangan .  .  dengan view yang bagus banget .  .   dan udara yg dingin cocok untuk tempat menenangkan pikiran .  .   healing bersama keluarga.  .   naik perahu ,  naik kuda mengelilingi telaga,  joging di pagi hari,  banyak pedagang .  .   sate kelinci,  pecel,  pedagang oleh2 .  .   dll"
elia rachmi,"Tempatnya bagus,  sayang kesana sore terus hujan jadi bentar nikmatin tempatnya"
Ndy,"Tempat wisata adem di Magetan.   Lokasinya sudah ada di maps ya.   Tiket masuk 20rb/orang.   Untuk parkirnya 5rb/mobil,  dan kadang dapat parkiran yg agak jauh kalau lagi rame ramenya hari libur.   Telaganya bersih,  udaranya juga sejuk banget,  …"
ANDIKA SAPTA,"Bagus,  banyak jajanan,  sate,  bakso,  dan oleh2 banyak.  .   Parkir mobil atau bis ada,  walau agak susah kalau weekend"
Heru Setiawan,"Mantab,  view-nya bagus,  hawanya sejuk dan dingin"
tha phar,"Keren lokasi wisata selau ramai pengunjung,  sayangnya dipinggir telaga banyak mobil yg lwt jd terkesan semrawut.  "
rachman saputra,Wisata alam yg menarik.   Tempatnya sejuk.  
maulina noviyani,"Tempat nya dingin bgt,  sampai sini jam 6 pagi,  ikut map dr arah tawang mangu ga lewat loket masuk jd free htm,  parkir dipinggir telaga gratis.   Toilet 3rb-5rb.   Sate kelincinya lumayan enak per porsi 20rb,  ada nasi pecel juga,  gorengan,  teh,  …"
Nur Ichwan Armi Maliki,Parkirnya luas dan nyaman.   Tapi termasuk salah parkir karena jalannya terlalu jauh.   Harusnya dr gerbang utama jangan lurus ada perempatan langsung belok kanan aja.   Nanti disitu bisa langsung turun mobil depannya dah telaga nya.   …
Ahmad Yusuf,"Setelah sekian lama.   Bisa kembali lagi kesini
Kebetulan liburan jadi ruame banget.  
Tapi tetap membawa aura ketenangan dan kedamaian"
Hartono Tono,"Tempat wisata,  untuk refreshing keluarga, sate kelinci mantap ,  harga murah tempat parkir luas"
Airlangga 22,Pas banget buat liburan keluarga.  .  tempat nyaman dan sejuk.  .  .   sate kelincinya enak banget.  .  .  
Rizal Susanto,"Tempat yg bisa dikunjungi untuk berlibur di daerah Madiun,  Magetan dan sekitarnya.   Udara sejuk,  pemandangan indah,  suasana danau alam yg indah.   Ada air terjun jg sekitar situ.  .  .   …"
farah hape (hape),"Seru main speedboat,  harga nya 80.  000 skali putaran klo 2x 150.  000,  gorengan,  sate kelinci,  sama jagung bakar nya juga enak"
Cuwil kundardini kholily,"Tempat favorit karena hawanya yg masih alami, adem slem seperti hatiku❤.  
Daann.  .  .  .   Tempat yg tidak bikin bosan berapa kalipun saya dan teman-teman berkunjung di sini.   Kalo kesini jangan lupa wedang ronde nya.   Mantap sekali.  "
Satia Budianti,Love this small lake! Dari Tawangmangu sekitar 30 menitan.   Perjalanan dr Tawangmangu akan disuguhi pemandangan pegunungan yg indah plus kabut sepanjang perjalanan.   Telaganya gak terlalu besar tapi cantik! Dikelilingi pegunungan berkabut …
Aan W.  ,"Tempat parkir di dalam gratis dan luas,  harga tiket 15k per orang.  

Telaga Ngebel adalah sebuah waduk yang dibangun di Ngebel,  Ponorogo untuk …"
Damasus N,"Wisata air,  di Magetan
Berjalan kaki kurang lebih 500meter dari parkiran bus & mobil,  sepanjang jalan terdapat warung makanan dan souvernir …"
RINNAPS,"Haii semuanya untuk tempat wisata ini cukup menarik yaa,  dimulai dari perjalanan yang luar biasa yaa masih aman naik turun belok belok nya,  disambut dengan kabut,  disini disediakan jg speedboat 80k dan bebek bebek an 50k jangan lupa pecel pincuk dan sate kelinci"
heru ardiyanto,"lokasi berlibur telaga sarangan,  udaranya sangat dingin dan angin berhembus kencang,  banyak pedagang berjualan mulai dari pakaian,  makanan dan oleh-oleh.   ada jasa keliling danau juga menggunakan speedboat"
Ifit Isna,Gk perlu banyak komentar sih.  .  .  .  vibes nya adem aja d sini serta nyaman
Wahyu Ika,Sangat ramai dan banyak kulinernya
dian carolina,"Seruuu,  dan cocok utk belanja segala kebutuhan"
Laurinciana Sampebatu,"Tempatnya sangat indah.   Sepanjang mata memandang penuh dengan keindahan air,  gunung,  pepohonan.  
Kita dapat berjalan sekalian berolahraga mengeliling telaga.   …"
Ditya Rama,"Jangan datang jam 5 sore.   Karena banyak pedagang yg sudah tutup.  
Kuliner wajib,  sate kelinci.  "
Diah hartatik,Tempat yg sangat menyenangkan tapi sayang smua kendaraan tumplek blek jadi satu berharap suatu saat ada perbaikan dan penertiban parkiran jd smua kendaraan tdk bisa masuk ke area telaga harus diparkir dulu agar area telaga sarangan menjadi area pedestrian
edward munajmie,Pemandangannya sangat wow sekali tdk bisa di bayangkan bahwa di indonesia bnyk sekali tmpt wisata yg indah dan keren.  .  .  .  kebetulan nyoba sate kelinci sama wedang kopi.  .  .  pokoknya joss deh
Sujud Fitri Ala'i,"Akses menuju ke lokasi sangat bagus jalannya serta pemandangannya indah dikelilingi hutan dan posisi dibawah kaki gunung Lawu,  hawa dingin dan jalan berkelok-kelok.   Harap memakai jaket dan pelan-pelan saat mengendarai kendaraan,  selalu cek …"
Bu Karti,"Tempat nyaman, tetap bisa naik speed boat seperti biasamya,  Untuk naik speee boat wajib mengeluarkan biaya 80k per sekali putaran dan jika ingin menaiki kuda juga dikenakan biaya yang sama.  "
Nanda Elfitra,Sampai sini jam 4 pagi gatau emang belum buka atau belum ada yang jaga tprnya jadi ngga pake tiket masuk.   …
Sarful Mudawam,Tiket masuk 40rb untuk 2 orang dewasa 1 anak-anak.   Sudah termasuk biaya parkir dan asuransi jiwa.   Ke sini pas hari H lebaran setelah sholat ied.   Suasana masih sedikit pengunjung jadi bisa leluasa berkeliling telaga.   Untuk harga makanan standart tempat wisata.  
Elfasya Cleo,"Enak Nyaman Tenang & Dingin 🤗
Mau Makan Sdh Ada Harganya Jd Jgn Takut Ditembak Harga Buat Wisatawan …"
Ika Oktavia,"Telaga yang berada di daratan tinggi gunung Lawu,  menyediakan permainan speed boot bagi yang berani2 aja kalo saya sih tidak hehehe.  
Banyak penjual sayur,  buah segar dan jajanan lain untuk oleh2.   …"
astri ismiyati,Rekom bgt buat tempat rekreasi bersama keluarga karena banyak fasilitas yang gratis dan berbayar
sinta tata,Kesini pas weekend super ruame.   Tempat yg asik dan menarik untuk dikunjungi.   Super dingin untuk aku yg tinggal di pesisir 🥶 …
Adinda Azizah,Dari kecil selalu pengen kesini akhirnya kesampaian pas gede.   Ternyata bagus sekali!!! Sejuk asri viewnya juaraa nggak heran ya jadi tempat wisata favorit keluarga.  
Fera Kristiana Wati,Kampung halaman yang sangat sejuk dan menenangkan
Windy R,"Salah jalur lewat ngerong karena belum tau medannya,  mobilnya nggak kuat nanjak.   Alhamdulillau ketemu orang2 baik dan banyak yang bantuin.   Ternyata jalur yang kanan lebih landai.   …"
Imam Wahuzy,Jauh jauh dari Jakarta ke Jawa timur semua terbayar dengan indah nya Tepat ini 😉 semoga dilain kesempatan  bisa berkunjung lagi kesini 😁 …
Anjas Arga,"Telaga Sarangan terletak di Magetan Jawa Timur.   Kalau dari arah solo bisa lewat Tawangmangu,  Karanganyar mengikuti rute jalan tembus Sarangan.   Untuk view & tempatnya sangat bagus & luas untuk jalan menikmati pemandangan,  fasilitas lengkap …"
Arya Saloka Buana,"Masih menjadi destinasi wisata favorit bagi warga karisidenan madiun maupun luar kota
Disini banyak penginapan mulai villa hingga hotel mewah bagi wisatawan yg ingin …"
Darto,"Pemandangannya indah,  sejuk,  banyak villa,  lingkungan bersih,  bnyak kulineran lokal"
Agus Supriadi,"Tempat wisata air yang indah dan berudara sejuk yang letaknya di ketinggian kurang lebih 1.  000 mdpl,  banyak pengunjungnya,  terlebih-lebih bila weekend,  di sekitar sini juga banyak hotel dan penginapan untuk menikmati pemandangan telaga yang …"
sintia ayu,"Temapt dingin,  sejuk,  yang khas sarapan nasi pecel di tepi telaga.  .   muantul.   Harga nasi pecel jg relatif murah.   Sayang kesana pas weekday,  tidak trlihat kuda dan speedboat jlan.   Waduk jg lg berkurang airnya krn lg kemarau.  "
Ahmad,"Saya ke sini menjelang tahun baru 2021,  ditengah musim pandemi covid.   Jadi tidak terlalu ramai.   Suasana alamnya cukup bagus.   Udaranya dingin,  apalagi kalau angin sedang bertiup kencang.   …"
arif riyanto,"telaga sarangan ini tempatnya sangat luas dan banyak pepohonan di sekitar telaga sarangan ini terdapat penjual pernak pernik mulai dari baju,  celana,  topi,  dll.  ,  di sini terdapat penjual makanan dan minuman juga untuk fasilitas mushola juga ada,  terdapat toilet umum.   wisatawan juga biasa naik perahu juga dan sama naik kuda.  "
By Dika Ramadhani,"Healing kesini seru banget sama keluarga besar nginep di villa,  nama villanya lupa tp bagus fasilitas nya lengkap baik nyaman,  dan kebetulan dpt di lantai 3 paling atas jd bisa jelas banget liat pemandangan telaga dr mulai terbit sampe …"
Galih Opriawan,"Masyaallah,  udara segar sekali,  jajanan relatif murah untuk tempat wisata,  banyak penginapan,  akses jalan bagus,  harga tiket masuk murah dan bisa terusan (bila menginap lebih dr satu malam).   banyak penjual sate ayam dan kelinci,  wedang jahe …"
Cycy Lurista,"Danaunya sekarang sedang surut
Tapi pemandangannya masih bagus
Disarankan datangnya jangan pas weekend,  lebih baik weekday.   Untuk naik speedboat 1 putaran 70rb"
Nurul Aini,Suasana Adem sangat cocok buat liburan
Fachri Reza,"ini adalah danau kecil yang indah,  menurutku itu buatan.   1287 mdpl.   suka sekali.   di gerbang Anda harus tetapi tiket masuk resmi dari pemerintah setempat: Rp 20K untuk dewasa,  Rp 10K untuk anak-anak.   meski terkadang mereka tidak menghitung …"
Ali Hudatwi,"Tempat yang bagus untuk menghabiskan akhir pekan bersama keluarga dan membawa anak-anak Anda ke sini.   Banyak atraksi yang disuguhkan di sini,  seperti berkuda,  jet ski,  berfoto,  belanja sayur dan buah segar serta bunga dan beberapa jajanan …"
Alveey SR,"Mendapat kesempatan untuk berada di sini pagi-pagi sekali dan tidak terlalu ramai.   Saya bisa menikmati lebih baik 😁.  
Setiap kali saya sampai di sini saya selalu makan sate ayam dan menunggang kuda.   …"
Hayfaza Nayottama,"Danau yang indah & legendaris dengan udara sejuk & segar.   Di sekitar danau juga terdapat beberapa makanan enak seperti sate kelinci,  pecel,  dan masih banyak lagi.   Ada juga banyak hotel di sana.   Saya tahu ada satu Hotel bernama Sarangan Hotel dengan pelayan berbahasa Inggris.  "
unggul wicaksono Dimanto,"Tempat yang bagus untuk dikunjungi,  meskipun musim hujan,  tempat ini selalu ramai dikunjungi wisatawan.   Datang saja untuk menikmati suasananya"
Teguh Prasetiyo,"Udaranya sejuk,  suasananya rindang,  pemandangannya memikat.  .   Masalah saya menginap tidak bisa dibilang cukup 😁 …"
Vicka,"banyak tempat menginap,  dekat dengan tempat makan,  udaranya sejuk!"
Fikrianzi,"Sangat direkomendasikan untuk mengunjungi tempat ini.   Pemandangannya menakjubkan.   Suasana terasa dingin di musim hujan.   Banyak aktivitas yang bisa Anda temukan seperti speedboat,  berkuda keliling tempat,  dll.   …"
Gardika Windar,"temukan cara baru,  bukan cara lama.   jika mengikuti google map akan diarahkan melalui jalan lama karena lebih cepat namun jalannya sangat terjal.   lebih baik berjalan sedikit lebih jauh tetapi jalannya lebar dan landai daripada melalui jalan …"
Vivin Afirin,"Tempat penyembuhan dengan udara sejuk,  cocok untuk keluarga,  ada wahana berkuda keliling telaga dan naik perahu keliling telaga,  pertokoan banyak dan lengkap"
Farlian S.   Nugroho,"Sangat merekomendasikan perjalanan satu hari dan menikmati tempat yang menakjubkan ini.   Benar-benar menyukai kota kecil ini.   Anda bisa menyewa speed boat dan menikmati pemandangan danau yang indah,  udara segar dan air tawar.   Saya bahkan …"
أبو حكيم عادل,"Danau di atas pegunungan,  kelilingnya 3 kilometer,  disekitarnya sudah tersedia pelayanan,  tapi sudah tua,  ada naik perahu yang bisa menampung 4 orang,  satu tur seharga rupee 70 ribu,  dan tiga tur seharga rupee 180 ribu,  serta menunggang …"
Rigor Mortis,"Tempat dan pemandangan yang bagus
Pemandangannya luar biasa,  kamu bisa naik speedboat melintasi telaga sarangan hanya dengan 80k (3 orang) …"
Jojo,"Tempatnya bagus,  udaranya segar,  pemandangannya menakjubkan.   Harga tiket cukup terjangkau.   Begitu banyak resor di sekitar danau.   Anda bisa menunggang kuda,  speedboat,  atau berbelanja di pasar sambil menghabiskan liburan di sini.   Waktu terbaik untuk berkunjung adalah ketika malam tahun baru tiba.  "
Mustafa Zainudin,"Tempat yang fantastis untuk tamasya keluarga! Bagi yang mencari sensasi dapat menaiki speed boat seharga Rp 60.  000 untuk 1 kali keliling danau.   Dapatkan kapten yang lebih muda dan minta dia melakukan pengejaran😆.   Tempat yang wajib dikunjungi.  .  .  naik kuda,  speed boat,  makanan,  pasar …"
Uun Ratri,"pemandangan yang bagus.   Anda dapat membeli banyak sayuran segar,  buah-buahan dan tentu saja beberapa oleh-oleh dari sana.   Bisa juga naik kuda dengan biaya 40k sampai 60k,  makan sate ayam atau sate kelinci 😁.   Selamat berlibur 🤗 …"
Ike Ikrima,"Tempat yang indah untuk bersantai dari rutinitas pekerjaan.   Cuaca bagus dan segar.   Pengunjung bisa berjalan kaki,  menunggang kuda,  atau naik perahu untuk berkeliling.   Tempat yang bagus untuk perjalanan keluarga atau pasangan.  "
Surya Hasan Muhammad,"Tempat yang sangat bagus.   Suasana santai.   Pengunjung bisa berjalan kaki,  menunggang kuda,  atau naik perahu yang di dalamnya tertera harga tiket masuk secara jelas.   Perlu manajemen yang lebih baik untuk penginapan dan hotel"
Andreas Fibrianto,Tempat rekreasi untuk bersantai dengan udara yang sangat sejuk dan segar.  .  .  
Raditya Bagus,"Saya sudah beberapa kali kesini,  pemandangannya bikin ketagihan,  perpaduan danau,  gunung,  dan langit mendung sungguh indah.   Anda bisa berkeliling danau dengan menyewa kuda atau berjalan kaki,  jangan lupa mencoba speed boat karena salah satu …"
anggi rois,Hari kerja kendaraan boleh masuk area.   Naik kuda 80rb muterin telaga (jauh banget)Speedboat 80rb 1 putaran
Arifa Habibi,"Setelah gerbang karcis ambil arah kanan untuk yg mau menginap di sekitar villa tiara,   villa merah,   villa sukmawati,   hotel arika atau hotel nusantaraSejukÂ â¦"
Kang Aldi,"Mantap,   tempatnya bagus,   apalagi waktu pagi hari sambil ngopi.   "
deris setiawan, Merupakan danau alami yang terletak di lereng Gunung Lawujangan lupa mencoba sate kelincinya.   Â â¦
kukuh priwandhana,"Tempatnya dingin di pagi dan sore hari,   siang nya lumayan sejuk,   malamnya dingin bangetBanyak penjual makanan dan souvenir di sekitaran telagaBisa keliling telaga menggunakan perahu cepat"
Bocil Alpi,"Pemandangaanya the best,   belakang telaga pemandangan gunung"
savitriningsih rr,"Perlu dibenahi supaya nyaman untuk ber lama"" disana.   "
Puji Ummuyahya,"Seru naik speedboat,   pertama kali naik kuda jg murah satu putaran -+3km durasi 20/30 menit cm Rp 80.   000"
Yusup Pratama," tempatnya bagus,   permainannya murah,   penginapannya juga murah,   tempatnya kerenÂ â¦"
Saroh Amelia,Bagussð
Siti Salamah,menyenangkan
Ferry Sopian Hadi,Air suruttr
Alveey SR, Mendapat kesempatan untuk berada di sini pagi-pagi sekali dan tidak terlalu ramai.    Saya bisa menikmati lebih baik ð.   Setiap kali saya sampai di sini saya selalu makan sate ayam dan menunggang kuda.   Â â¦
janes sopacua,Tempatnya sejuk.   .    dan harap bila beli makanan dan atau minuman tanyakan dulu harganya agar tdk kecewa setelah nya
Adhy Izwh,Pemandangan yg bagus
Agus Bebek,"Merasa kecewa dengan petugas PARKIR.   kalo sepeda motor d larang masuk pinggir telaga hari sabtu minggu ya di berlakukan untuk semua pengunjung,   tanpa pengecualian.   Â â¦"
LensFlare Digital AV Community,Suasananya nyaman
David Aries," Tempatnya sejuk,   tidak ada nyamuk bahkan di malam hariSetidaknya bagi saya hahaÂ â¦"
Wahyu Adhi,"Kesini pas weekdays lumayan sepi ,   jadi enak bisa nikmatin suasana disini .    Tiket murah ,   jalannya mulus ,   makanan murah2 penginapan juga banyak .    Recomended"
Faiz RozanH,"tadi kesini kena tipu,   pas ditanya harga popmie katanya 10rb tp pas di nota jd 13,   pas ditanya lagi malah ngeyel wkwkwkwk"
Bagus GARASI, Ya dingin ð¥¶ ya panas ð¥µ Ya sejukð¥¶ ya panas ð¥µ
Eko Heri," Keren,   bersih Sejuk,   bersih"
Gilbert Santoso,Sangat bagus dan orang ny ramah
XIl RPL 2_15_Nur fadlila A,"Tempat bagus,  harga bersahabat"
alan fatihur,Adem pinuk
Retno Widiyanti,"Telaga alami,   tidak terlalu besar tapi bagus viewnya bukit-bukit dan Gunung Lawu.    Walaupun cuaca panas tapi anginnya dingin sejuk enak banget.    Kalau mau keliling pakai speedboat harganya 80K/1 kali putaran,   150K/2 kali putaran,   200K/3 kali putaran,   bisa diisi 4 orang.    Selamat mencoba ð¥°"
Aga Aja,"Pertengahan September 2024 main kesini,   saat itu airnya sedang surut-surutnya.    Setelah main speedboat nongkrong ditepi danau sambil jajan sate kelinci & pecel.    Harga masih bersahabat,   sebelum beli jangan lupa tanya harga untuk antisipasiÂ â¦"
Tina Larasati,Saat hari libur ramai sekali
wiwin setiabudi,udaranya sejuk banyak vila di sewakan jajanan juga banyak ada sate kelinci banyak bisa naik perahu boat yang uda di sediakan
